config,scenario,nlos_bias_ns,nlos_probability,num_sim,tof_bias_pred,tof_bias_sim,tof_bias_ci_low,tof_bias_ci_up,tof_std_pred,tof_std_sim,tof_std_ci_low,tof_std_ci_up,tdoa_bias_pred,tdoa_bias_sim,tdoa_bias_ci_low,tdoa_bias_ci_up,tdoa_std_pred,tdoa_std_sim,tdoa_std_ci_low,tdoa_std_ci_up,tof_bias_dev,tof_std_rel_dev,tof_bias_in_ci,tof_std_in_ci,tdoa_bias_dev,tdoa_std_rel_dev,tdoa_bias_in_ci,tdoa_std_in_ci
symmetric_sigma,A,2.0,0.375,20000,0.7500000000000001,0.7531291271987758,0.7376692604662827,0.7685889939312689,0.8523863560616161,0.8487156547285383,0.8379146878503702,0.8597795854482162,0.0,-0.0026294353049940186,-0.029898139058536645,0.024639268448548607,1.4921670482891651,1.4969971061357499,1.4779459479887291,1.5165120899557925,0.003129127198775672,-0.004306382084807159,True,True,-0.0026294353049940186,0.003236941770107249,True,True
symmetric_sigma,A,2.0,0.5,20000,1.0,1.011958412279596,0.9961421115392695,1.0277747130199224,0.8660254037844387,0.868283166374032,0.8572331784674504,0.8796021808688189,0.0,0.009415937222777873,-0.017953611040688752,0.0367854854862445,1.5000000000000002,1.5025332673295617,1.483411654615863,1.5221204210260053,0.011958412279595931,0.0026070396777360116,True,True,0.009415937222777873,0.00168884488637433,True,True
symmetric_sigma,A,2.0,0.625,20000,1.25,1.251847547677885,1.2362964504877025,1.2673986448680674,0.8523863560616161,0.8537240237506482,0.8428593191204778,0.8648532440023036,0.0,-0.007100083837974717,-0.03428230624633574,0.020082138570386307,1.4921670482891651,1.492249453858558,1.4732587155172865,1.5117025468726715,0.0018475476778849753,0.0015693208596307961,True,True,-0.007100083837974717,5.522543168834382e-05,True,True
symmetric_sigma,A,2.0,0.75,20000,1.5000000000000002,1.5031277270391807,1.4882701757646626,1.517985278313699,0.8100925873009825,0.8156497449691786,0.8052695830969245,0.826282625627835,0.0,-0.0013278314562248606,-0.027886178927044588,0.025230516014594865,1.4684175155588415,1.4579999719421828,1.4394451010409803,1.4770065857462138,0.0031277270391805168,0.006859904355761559,True,True,-0.0013278314562248606,-0.00709440163051589,True,True
symmetric_sigma,A,2.0,0.875,20000,1.7500000000000002,1.7508739650355143,1.7376417949600778,1.7641061351109508,0.7342087577794206,0.7264195793777377,0.7171749828243476,0.7358892478761038,0.0,-0.004705843476338451,-0.030864289190062462,0.021452602237385564,1.4279574573494829,1.4360461681045835,1.417770686780772,1.4547665902219886,0.0008739650355140682,-0.0106089423738841,True,True,-0.004705843476338451,0.005664532030327241,True,True
symmetric_sigma,A,2.0,1.0,20000,2.0,2.0020778730369275,1.9908554013967956,2.0133003446770594,0.6123724356957946,0.6160911688655285,0.6082506391524566,0.6241225866570548,0.0,-0.010016815713191232,-0.03507746091235297,0.015043829485970507,1.3693063937629155,1.3757791232069851,1.3582706153119743,1.3937138989118234,0.0020778730369275245,0.0060726658369405495,True,True,-0.010016815713191232,0.0047270132335264226,True,True
symmetric_sigma,A,4.0,0.125,20000,0.5,0.4943158784553477,0.47587146688402776,0.5127602900266677,1.0155048005794949,1.0125611762185633,0.9996750704120743,1.0257610113349558,0.0,-0.007094065400422464,-0.036071761884669935,0.02188363108382501,1.590990257669732,1.5908173769999203,1.5705722387107177,1.611555409989799,-0.00568412154465231,-0.0028986808917611517,True,True,-0.007094065400422464,-0.00010866230574213542,True,True
symmetric_sigma,A,4.0,0.25,20000,1.0,1.0075464421799758,0.9851167539161874,1.0299761304437642,1.2247448713915892,1.2313448679443055,1.215674466367322,1.2473967861987465,0.0,0.01739106662813292,-0.014371903232602016,0.04915403648886786,1.7320508075688774,1.743723295157361,1.7215322380574318,1.7664546229282387,0.007546442179975799,0.005388874619427719,True,True,0.01739106662813292,0.0067391138513235305,True,True
symmetric_sigma,A,4.0,0.375,20000,1.5000000000000002,1.491625365949467,1.4673004421284772,1.5159502897704566,1.334634781503914,1.335389496182537,1.3183949967440478,1.3527977492143195,0.0,-0.02030346459835903,-0.053020824633282976,0.012413895436564917,1.81142209327368,1.7961174002016733,1.7732595626670462,1.819531742059896,-0.008374634050533292,0.0005654840478326317,True,True,-0.02030346459835903,-0.008448993268237892,True,True
symmetric_sigma,A,4.0,0.5,20000,2.0,1.993942572713147,1.968917034240857,2.018968111185437,1.3693063937629153,1.3738518343630437,1.356367853626042,1.3917614857637322,0.0,0.0008146485415123421,-0.03266531697525174,0.034294614058276426,1.8371173070873836,1.8379829105594816,1.8145922821093188,1.8619430148336114,-0.00605742728685299,0.003319520467320203,True,True,0.0008146485415123421,0.000471174850271483,True,True
symmetric_sigma,A,4.0,0.625,20000,2.5,2.4908320930756616,2.466439088399583,2.51522509775174,1.334634781503914,1.3391269984845224,1.3220849346605457,1.3565839739197427,0.0,-0.010775823301389664,-0.04389766328713052,0.022346016684351194,1.81142209327368,1.8183225376858552,1.7951821120392313,1.8420263476378702,-0.009167906924338443,0.003365877349267521,True,True,-0.010775823301389664,0.0038094072263987755,True,True
symmetric_sigma,A,4.0,0.75,20000,3.0000000000000004,2.9987600769576277,2.976313846049466,3.0212063078657896,1.2247448713915892,1.2322530259183289,1.2165710668967018,1.2483167829987076,0.0,-0.018183511461879267,-0.049836897737204455,0.013469874813445918,1.7320508075688774,1.7377073762592334,1.715592879242058,1.7603602799907605,-0.001239923042372748,0.006130382500159959,True,True,-0.018183511461879267,0.0032658214560665755,True,True
symmetric_sigma,A,4.0,0.875,20000,3.5000000000000004,3.505860266051195,3.487362769429676,3.524357762672714,1.0155048005794949,1.0154754389296055,1.002552245489772,1.0287132646268884,0.0,0.0027196355525119127,-0.026556352612070563,0.031995623717094385,1.590990257669732,1.6071929915609116,1.5867394531208487,1.628144498479291,0.005860266051194607,-2.8913354100046362e-05,True,True,0.0027196355525119127,0.010184056007301434,True,True
symmetric_sigma,A,4.0,1.0,20000,4.0,3.9911002380133294,3.9799155727966347,4.002284903230024,0.6123724356957946,0.6140156720985935,0.6062015556744841,0.6220200335346604,0.0,-0.0060425634969378025,-0.03122687034842931,0.0191417433545537,1.3693063937629155,1.3825678997234918,1.3649729961671198,1.4005911745064743,-0.00889976198667064,0.002683393809082668,True,True,-0.0060425634969378025,0.009684834614795745,True,True
symmetric_sigma,A,8.0,0.125,20000,1.0,0.969981128380867,0.9386008926354212,1.0013613641263128,1.7320508075688774,1.7227119603984515,1.7007882987796032,1.745169382591171,0.0,-0.006045009144799546,-0.044388501356612334,0.032298483067013245,2.121320343559643,2.1049807647261285,2.07819225506177,2.1324214761321576,-0.03001887161913297,-0.005391785927766124,True,True,-0.006045009144799546,-0.007702551329940133,True,True
symmetric_sigma,A,8.0,0.25,20000,2.0,1.9924089223514296,1.9522231089940087,2.0325947357088503,2.207940216581962,2.206120497970311,2.178044858861891,2.23487967569116,0.0,0.005932293602558381,-0.0401508860128445,0.05201547321796127,2.5248762345905194,2.529874069163618,2.4976782614455284,2.5628537264549505,-0.007591077648570366,-0.0008241702370310744,True,True,0.005932293602558381,0.0019794374491028943,True,True
symmetric_sigma,A,8.0,0.375,20000,3.0000000000000004,3.0100113139457174,2.965869586629595,3.0541530412618396,2.4494897427831783,2.4232922345450048,2.392452813808958,2.454882481817061,0.0,0.008247263136543058,-0.04200690257549269,0.058501428848578806,2.7386127875258306,2.7588528344480023,2.7237429859132254,2.7948174787385365,0.01001131394571697,-0.010695087952647286,True,True,0.008247263136543058,0.007390620176157547,True,True
symmetric_sigma,A,8.0,0.5,20000,4.0,4.011630128748278,3.965852250935931,4.057408006560625,2.52487623459052,2.513113612934977,2.481131102958693,2.5458747794685266,0.0,-0.004535627376521407,-0.05595478829685205,0.04688353354380924,2.806243040080456,2.822808733167717,2.786884965931327,2.8596071120884625,0.011630128748278068,-0.004658692372479956,True,True,-0.004535627376521407,0.005903156943521948,True,True
symmetric_sigma,A,8.0,0.625,20000,5.0,4.956054181588741,4.911588074263235,5.000520288914248,2.4494897427831783,2.441100046009951,2.410033998628415,2.4729224374532848,0.0,-0.00037259521867584044,-0.05014033702782537,0.04939514659047369,2.7386127875258306,2.7321491384616707,2.6973791278151973,2.7677656710604905,-0.043945818411258664,-0.003425079365180217,True,True,-0.00037259521867584044,-0.002360190930824957,True,True
symmetric_sigma,A,8.0,0.75,20000,6.000000000000001,5.9790820897345975,5.938967793655711,6.019196385813484,2.207940216581962,2.2021943429182897,2.1741686690372566,2.2309023389421263,0.0,0.009931268651338662,-0.03643865082649698,0.056301188129174305,2.5248762345905194,2.5456155121069712,2.5132193748640304,2.578800376210718,-0.02091791026540335,-0.0026023683161888744,True,True,0.009931268651338662,0.00821397787041045,True,True
symmetric_sigma,A,8.0,0.875,20000,7.000000000000001,6.985932344730815,6.954260372475509,7.01760431698612,1.7320508075688774,1.738727709256995,1.7166002272278758,1.7613939141377766,0.0,0.006208098766511464,-0.032547143735198694,0.044963341268221615,2.121320343559643,2.1275850292338183,2.10050885206752,2.1553204117880567,-0.014067655269186297,0.0038549109869874254,True,True,0.006208098766511464,0.002953201148141238,True,True
symmetric_sigma,A,8.0,1.0,20000,8.0,8.00389151053415,7.99279746683992,8.01498555422838,0.6123724356957946,0.6090407323981348,0.6012899282961514,0.616980240089754,0.0,-0.010397042705826011,-0.03539979858713835,0.014605713175486326,1.3693063937629155,1.372601115844407,1.3551330520628877,1.390494462770254,0.0038915105341494893,-0.005440648702409678,True,True,-0.010397042705826011,0.0024061248063242946,True,True
symmetric_sigma,A,12.0,0.125,20000,1.5000000000000002,1.507177626447482,1.4613495749594043,1.5530056779355599,2.5062422069704278,2.515868047031017,2.4838504834401642,2.548665120605801,0.0,-0.019985140774510416,-0.07062485736325815,0.030654575814237316,2.789489200552675,2.7800188037556177,2.744639591821966,2.816259369453669,0.007177626447481877,0.0038407461313267888,True,True,-0.019985140774510416,-0.0033950290236581804,True,True
symmetric_sigma,A,12.0,0.25,20000,3.0000000000000004,2.9569726177064983,2.8982673590840413,3.0156778763289553,3.24037034920393,3.222800873376757,3.1817867065066907,3.2648135844510717,0.0,0.0028457754698031296,-0.05945864680488877,0.06515019774449503,3.4641016151377544,3.4203877341458293,3.3768590276571784,3.464976204635548,-0.043027382293502114,-0.005422057954421633,True,True,0.0028457754698031296,-0.012619110479005657,True,True
symmetric_sigma,A,12.0,0.375,20000,4.500000000000001,4.522413658978071,4.4565337679153085,4.588293550040833,3.6098822695484136,3.616673794429294,3.570647102633131,3.6638210669867197,0.0,0.022139796242661273,-0.04763692645868464,0.09191651894400718,3.8119876704942275,3.8306020302113235,3.781852834386734,3.880538089762943,0.022413658978069684,0.001881370187102993,True,True,0.022139796242661273,0.004883111207619084,True,True
symmetric_sigma,A,12.0,0.5,20000,6.000000000000001,6.002914044645071,5.935224248403527,6.070603840886616,3.7249161064378353,3.7160339561555635,3.6687427821858525,3.7644764963795048,0.0,0.020545657084127564,-0.051150516222292663,0.09224183039054779,3.9210967853395315,3.935976015976725,3.885885804555532,3.9872857399254475,0.0029140446450703905,-0.002384523578107034,True,True,0.020545657084127564,0.0037946603850291805,True,True
symmetric_sigma,A,12.0,0.625,20000,7.500000000000001,7.5322056241794355,7.466591997919409,7.597819250439462,3.6098822695484136,3.60205639116867,3.556215724088303,3.6490131099922554,0.0,0.0190089053779551,-0.05015469697843625,0.08817250773434646,3.8119876704942275,3.796942953842844,3.7486221118102225,3.8464402307621945,0.03220562417943462,-0.0021679040465556465,True,True,0.0190089053779551,-0.003946685548810613,True,True
